Circuit delay: 2230.00216ps
NAND-U7892: 539.19920 ps
NAND-U7893: 606.72898 ps
NAND-U7894: 362.77276 ps
NAND-U7895: 300.94619 ps
NAND-U7896: 325.41914 ps
NAND-U7897: 237.83598 ps
NAND-U7898: 237.83598 ps
NAND-U7899: 223.00022 ps
NAND-U7900: 262.69061 ps
NAND-U7901: 265.94494 ps
NAND-U7902: 262.69061 ps
NAND-U7903: 282.05593 ps
NAND-U7904: 259.65758 ps
NAND-U7905: 403.09517 ps
NAND-U7906: 279.28266 ps
NAND-U7907: 290.38885 ps
NAND-U7908: 294.46828 ps
NAND-U7909: 289.60529 ps
NAND-U7910: 296.28734 ps
NAND-U7911: 302.59368 ps
NAND-U7912: 366.43596 ps
NAND-U7913: 332.25912 ps
NAND-U7914: 288.76692 ps
NAND-U7915: 988.74805 ps
NAND-U7916: 988.74805 ps
NAND-U7917: 1034.82889 ps
NAND-U7918: 303.44286 ps
NAND-U7919: 366.67534 ps
NAND-U7920: 971.45720 ps
NAND-U7921: 327.69940 ps
NAND-U7922: 998.30274 ps
NAND-U7923: 317.55115 ps
NAND-U7924: 1015.24830 ps
NAND-U7925: 337.73928 ps
NAND-U7926: 987.00280 ps
NAND-U7927: 839.65348 ps
NAND-U7928: 322.17820 ps
NAND-U7929: 756.23464 ps
NAND-U7930: 744.57239 ps
NAND-U7931: 1094.68694 ps
NAND-U7932: 317.51862 ps
NAND-U7933: 292.20776 ps
NAND-U7934: 368.78399 ps
NAND-U7935: 379.10119 ps
NAND-U7936: 290.85176 ps
NAND-U7937: 405.01976 ps
NAND-U7938: 340.74046 ps
NAND-U7939: 324.49865 ps
OR-U7940: 576.16208 ps
NAND-U7941: 226.01305 ps
NAND-U7942: 362.19891 ps
NAND-U7943: 496.02538 ps
NAND-U7944: 258.63390 ps
NAND-U7945: 399.51573 ps
NAND-U7946: 396.37825 ps
NAND-U7947: 414.00994 ps
NAND-U7948: 379.54623 ps
NAND-U7949: 339.73911 ps
NAND-U7950: 609.02320 ps
NAND-U7951: 279.90433 ps
NAND-U7952: 386.18733 ps
NAND-U7953: 344.05823 ps
NAND-U7954: 458.43135 ps
NAND-U7955: 278.61135 ps
NAND-U7956: 1434.72689 ps
NAND-U7957: 690.75820 ps
NAND-U7958: 734.24691 ps
NAND-U7959: 1233.61563 ps
NAND-U7960: 1018.02263 ps
OR-U7961: 1497.82130 ps
NAND-U7962: 1249.23967 ps
NAND-U7963: 1235.74970 ps
NAND-U7964: 1131.28581 ps
NAND-U7965: 592.11565 ps
NAND-U7966: 373.00575 ps
NAND-U7967: 336.76809 ps
NAND-U7968: 403.55894 ps
NAND-U7969: 546.91509 ps
NAND-U7970: 242.99629 ps
NAND-U7971: 289.52964 ps
NAND-U7972: 366.56183 ps
NAND-U7973: 601.15570 ps
NAND-U7974: 666.10755 ps
NAND-U7975: 958.28526 ps
NAND-U7976: 583.20051 ps
NAND-U7977: 294.80514 ps
NAND-U7978: 570.42525 ps
NAND-U7979: 316.69318 ps
NAND-U7980: 437.21482 ps
NAND-U7981: 308.34133 ps
NAND-U7982: 851.28645 ps
NAND-U7983: 992.32624 ps
NAND-U7984: 1035.58567 ps
OR-U7985: 637.68442 ps
NAND-U7986: 255.71177 ps
NAND-U7987: 518.37456 ps
NAND-U7988: 518.37456 ps
NAND-U7989: 518.37456 ps
NAND-U7990: 518.37456 ps
NAND-U7991: 717.69776 ps
NAND-U7992: 816.55316 ps
NAND-U7993: 734.24691 ps
NAND-U7994: 810.88980 ps
OR-U7995: 736.67878 ps
NOT-U7996: 742.46406 ps
NAND-U7997: 734.24691 ps
NAND-U7998: 742.46406 ps
NAND-U7999: 945.98350 ps
NAND-U8000: 804.44825 ps
NAND-U8001: 1323.51749 ps
NAND-U8002: 1323.51749 ps
NAND-U8003: 1288.97176 ps
NAND-U8004: 549.38057 ps
NAND-U8005: 619.59166 ps
NAND-U8006: 244.11545 ps
NAND-U8007: 415.55397 ps
NAND-U8008: 430.46922 ps
NAND-U8009: 388.61612 ps
NAND-U8010: 521.26330 ps
NAND-U8011: 411.12379 ps
NAND-U8012: 518.75462 ps
NAND-U8013: 738.68398 ps
NAND-U8014: 428.70638 ps
NAND-U8015: 922.42519 ps
NAND-U8016: 304.69442 ps
NAND-U8017: 442.67967 ps
NAND-U8018: 587.10715 ps
NAND-U8019: 242.99629 ps
NAND-U8020: 290.85176 ps
NAND-U8021: 303.44286 ps
NAND-U8022: 325.66487 ps
NAND-U8023: 324.49865 ps
NAND-U8024: 327.08790 ps
NAND-U8025: 237.88902 ps
NAND-U8026: 247.57361 ps
NAND-U8027: 245.16557 ps
NAND-U8028: 271.03684 ps
NAND-U8029: 317.51862 ps
NAND-U8030: 764.84839 ps
NAND-U8031: 830.97571 ps
NAND-U8032: 801.63977 ps
NAND-U8033: 791.40447 ps
NAND-U8034: 391.26308 ps
NAND-U8035: 349.07414 ps
NAND-U8036: 570.87152 ps
NAND-U8037: 740.23891 ps
NAND-U8038: 236.70027 ps
AND-U8039: 692.65465 ps
AND-U8040: 420.46399 ps
AND-U8041: 420.46399 ps
AND-U8042: 420.46399 ps
AND-U8043: 420.46399 ps
AND-U8044: 420.46399 ps
AND-U8045: 420.46399 ps
AND-U8046: 420.46399 ps
AND-U8047: 420.46399 ps
AND-U8048: 426.52019 ps
AND-U8049: 426.52019 ps
AND-U8050: 426.52019 ps
AND-U8051: 426.52019 ps
AND-U8052: 426.52019 ps
AND-U8053: 426.52019 ps
AND-U8054: 426.52019 ps
AND-U8055: 426.52019 ps
AND-U8056: 302.08619 ps
AND-U8057: 543.97797 ps
AND-U8058: 599.48409 ps
AND-U8059: 262.68044 ps
AND-U8060: 262.82521 ps
AND-U8061: 851.74439 ps
AND-U8062: 849.13739 ps
AND-U8063: 851.74439 ps
AND-U8064: 851.74439 ps
AND-U8065: 834.93713 ps
AND-U8066: 834.93713 ps
AND-U8067: 834.93713 ps
AND-U8068: 830.65925 ps
AND-U8069: 834.93713 ps
AND-U8070: 794.01882 ps
AND-U8071: 795.66876 ps
AND-U8072: 1034.74060 ps
AND-U8073: 420.65001 ps
AND-U8074: 290.85176 ps
AND-U8075: 348.35642 ps
AND-U8076: 263.27019 ps
AND-U8077: 431.73038 ps
AND-U8078: 1058.84266 ps
AND-U8079: 1055.78603 ps
AND-U8080: 1181.46474 ps
NOR-U8081: 1057.88391 ps
AND-U8082: 525.10245 ps
NAND-U8083: 692.65465 ps
NAND-U8084: 2102.63526 ps
NAND-U8085: 2102.63526 ps
NAND-U8086: 794.88709 ps
NAND-U8087: 794.88709 ps
NAND-U8088: 794.88709 ps
NAND-U8089: 794.88709 ps
NAND-U8090: 1424.61859 ps
NAND-U8091: 1424.61859 ps
NAND-U8092: 1424.61859 ps
NAND-U8093: 1424.61859 ps
NAND-U8094: 523.38458 ps
NAND-U8095: 958.28526 ps
NAND-U8096: 332.30362 ps
NAND-U8097: 226.01305 ps
NAND-U8098: 1041.54659 ps
NAND-U8099: 969.49069 ps
NAND-U8100: 243.05757 ps
NAND-U8101: 807.13250 ps
NAND-U8102: 380.10905 ps
NAND-U8103: 332.30362 ps
NAND-U8104: 805.73103 ps
NAND-U8105: 806.52812 ps
NAND-U8106: 764.84839 ps
NAND-U8107: 408.26688 ps
NAND-U8108: 1091.81867 ps
NAND-U8109: 1091.81867 ps
NAND-U8110: 320.65702 ps
OR-U8111: 728.64823 ps
NAND-U8112: 618.43517 ps
OR-U8113: 728.64823 ps
OR-U8114: 1088.99079 ps
NAND-U8115: 751.39197 ps
NAND-U8116: 421.10283 ps
NAND-U8117: 420.46399 ps
NAND-U8118: 853.48741 ps
NAND-U8119: 392.53700 ps
NAND-U8120: 378.61747 ps
AND-U8121: 795.55773 ps
AND-U8122: 795.55773 ps
NAND-U8123: 478.41353 ps
NAND-U8124: 702.65919 ps
NAND-U8125: 262.69061 ps
NAND-U8126: 227.98447 ps
NAND-U8127: 629.57479 ps
NAND-U8128: 357.78378 ps
NAND-U8129: 385.18901 ps
NAND-U8130: 289.60529 ps
NAND-U8131: 288.76692 ps
NAND-U8132: 302.59368 ps
NAND-U8133: 296.28734 ps
NAND-U8134: 283.11020 ps
NAND-U8135: 296.81326 ps
NAND-U8136: 223.00022 ps
NAND-U8137: 1412.78948 ps
AND-U8138: 818.12986 ps
NAND-U8139: 851.28645 ps
NAND-U8140: 286.46079 ps
NAND-U8141: 292.20776 ps
NAND-U8142: 523.38458 ps
NAND-U8143: 358.49776 ps
NAND-U8144: 355.56760 ps
NAND-U8145: 317.01184 ps
NAND-U8146: 270.80392 ps
NAND-U8147: 303.44286 ps
NAND-U8148: 447.81628 ps
NAND-U8149: 447.81628 ps
NAND-U8150: 447.81628 ps
NAND-U8151: 447.81628 ps
NAND-U8152: 447.81628 ps
NAND-U8153: 447.81628 ps
NAND-U8154: 447.81628 ps
NAND-U8155: 447.81628 ps
NAND-U8156: 453.87589 ps
NAND-U8157: 453.87589 ps
NAND-U8158: 453.87589 ps
NAND-U8159: 453.87589 ps
NAND-U8160: 453.87589 ps
NAND-U8161: 453.87589 ps
NAND-U8162: 453.87589 ps
NAND-U8163: 453.87589 ps
NAND-U8164: 447.81628 ps
NAND-U8165: 447.81628 ps
NAND-U8166: 447.81628 ps
NAND-U8167: 447.81628 ps
NAND-U8168: 447.81628 ps
NAND-U8169: 447.81628 ps
NAND-U8170: 447.81628 ps
NAND-U8171: 447.81628 ps
NAND-U8172: 447.81628 ps
NAND-U8173: 447.81628 ps
NAND-U8174: 447.81628 ps
NAND-U8175: 447.81628 ps
NAND-U8176: 447.81628 ps
NAND-U8177: 447.81628 ps
NAND-U8178: 447.81628 ps
NAND-U8179: 447.81628 ps
NAND-U8180: 453.87589 ps
NAND-U8181: 453.87589 ps
NAND-U8182: 453.87589 ps
NAND-U8183: 453.87589 ps
NAND-U8184: 453.87589 ps
NAND-U8185: 453.87589 ps
NAND-U8186: 453.87589 ps
NAND-U8187: 453.87589 ps
NAND-U8188: 488.31887 ps
NAND-U8189: 488.31887 ps
NAND-U8190: 488.31887 ps
NAND-U8191: 488.31887 ps
NAND-U8192: 488.31887 ps
NAND-U8193: 488.31887 ps
NAND-U8194: 488.31887 ps
NAND-U8195: 488.31887 ps
NAND-U8196: 452.89967 ps
NAND-U8197: 452.89967 ps
NAND-U8198: 452.89967 ps
NAND-U8199: 452.89967 ps
NAND-U8200: 452.89967 ps
NAND-U8201: 452.89967 ps
NAND-U8202: 452.89967 ps
NAND-U8203: 452.89967 ps
NAND-U8204: 458.94147 ps
NAND-U8205: 458.94147 ps
NAND-U8206: 458.94147 ps
NAND-U8207: 458.94147 ps
NAND-U8208: 458.94147 ps
NAND-U8209: 458.94147 ps
NAND-U8210: 458.94147 ps
NAND-U8211: 458.94147 ps
NAND-U8212: 452.89967 ps
NAND-U8213: 452.89967 ps
NAND-U8214: 452.89967 ps
NAND-U8215: 452.89967 ps
NAND-U8216: 452.89967 ps
NAND-U8217: 452.89967 ps
NAND-U8218: 452.89967 ps
NAND-U8219: 452.89967 ps
NAND-U8220: 458.94147 ps
NAND-U8221: 458.94147 ps
NAND-U8222: 458.94147 ps
NAND-U8223: 458.94147 ps
NAND-U8224: 458.94147 ps
NAND-U8225: 458.94147 ps
NAND-U8226: 458.94147 ps
NAND-U8227: 458.94147 ps
NAND-U8228: 452.89967 ps
NAND-U8229: 452.89967 ps
NAND-U8230: 452.89967 ps
NAND-U8231: 452.89967 ps
NAND-U8232: 452.89967 ps
NAND-U8233: 452.89967 ps
NAND-U8234: 452.89967 ps
NAND-U8235: 452.89967 ps
NAND-U8236: 458.94147 ps
NAND-U8237: 458.94147 ps
NAND-U8238: 458.94147 ps
NAND-U8239: 458.94147 ps
NAND-U8240: 458.94147 ps
NAND-U8241: 458.94147 ps
NAND-U8242: 458.94147 ps
NAND-U8243: 458.94147 ps
NAND-U8244: 452.89967 ps
NAND-U8245: 452.89967 ps
NAND-U8246: 452.89967 ps
NAND-U8247: 452.89967 ps
NAND-U8248: 452.89967 ps
NAND-U8249: 452.89967 ps
NAND-U8250: 452.89967 ps
NAND-U8251: 452.89967 ps
NAND-U8252: 519.84125 ps
NAND-U8253: 519.84125 ps
NAND-U8254: 519.84125 ps
NAND-U8255: 519.84125 ps
NAND-U8256: 519.84125 ps
NAND-U8257: 519.84125 ps
NAND-U8258: 519.84125 ps
NAND-U8259: 519.84125 ps
NAND-U8260: 708.41875 ps
NAND-U8261: 692.65465 ps
NAND-U8262: 263.30326 ps
NAND-U8263: 299.41575 ps
NAND-U8264: 289.19885 ps
NAND-U8265: 305.28375 ps
NAND-U8266: 276.32689 ps
NAND-U8267: 271.16755 ps
NAND-U8268: 271.03684 ps
NAND-U8269: 302.88566 ps
NAND-U8270: 273.61715 ps
NAND-U8271: 278.82905 ps
NAND-U8272: 339.64195 ps
NAND-U8273: 330.84834 ps
NAND-U8274: 342.32803 ps
NAND-U8275: 411.68491 ps
NAND-U8276: 419.52243 ps
NAND-U8277: 388.09644 ps
NAND-U8278: 289.19885 ps
NAND-U8279: 286.71365 ps
NAND-U8280: 260.38013 ps
NAND-U8281: 271.16755 ps
NAND-U8282: 303.44286 ps
NAND-U8283: 328.62544 ps
NAND-U8284: 384.24584 ps
NAND-U8285: 405.81060 ps
NAND-U8286: 373.29710 ps
NAND-U8287: 803.37221 ps
NAND-U8288: 1127.56228 ps
NAND-U8289: 1048.94952 ps
NAND-U8290: 787.60399 ps
NAND-U8291: 727.36091 ps
NAND-U8292: 692.65465 ps
NAND-U8293: 717.69776 ps
NAND-U8294: 1210.50637 ps
NAND-U8295: 794.01882 ps
AND-U8296: 838.12794 ps
NAND-U8297: 1206.87303 ps
NAND-U8298: 1235.38258 ps
AND-U8299: 826.32043 ps
AND-U8300: 818.12986 ps
AND-U8301: 818.12986 ps
AND-U8302: 844.58748 ps
AND-U8303: 870.87501 ps
AND-U8304: 1347.44210 ps
AND-U8305: 1380.47800 ps
NAND-U8306: 1033.96280 ps
NAND-U8307: 601.15570 ps
NAND-U8308: 755.50069 ps
NAND-U8309: 1211.13065 ps
NAND-U8310: 1212.04380 ps
NAND-U8311: 820.54818 ps
NAND-U8312: 812.98476 ps
NAND-U8313: 1053.27242 ps
OR-U8314: 1047.90520 ps
OR-U8315: 936.63690 ps
OR-U8316: 1183.83323 ps
NAND-U8317: 2165.24891 ps
OR-U8318: 888.90489 ps
OR-U8319: 877.26062 ps
NAND-U8320: 2295.56977 ps
NAND-U8321: 803.66970 ps
OR-U8322: 1037.80279 ps
NAND-U8323: 1088.64010 ps
OR-U8324: 1046.94239 ps
OR-U8325: 1144.35824 ps
NAND-U8326: 1402.88053 ps
NAND-U8327: 870.74977 ps
NAND-U8328: 870.74977 ps
NAND-U8329: 870.74977 ps
NAND-U8330: 870.74977 ps
OR-U8331: 1368.10969 ps
NOR-U8332: 1262.11276 ps
NOR-U8333: 358.49776 ps
AND-U8334: 372.92131 ps
NOR-U8335: 1677.34835 ps
AND-U8336: 1703.76718 ps
OR-U8337: 2160.04700 ps
OR-U8338: 1456.89029 ps
AND-U8339: 1612.13888 ps
AND-U8340: 748.49604 ps
AND-U8341: 748.49604 ps
NOR-U8342: 590.40169 ps
OR-U8343: 1288.97176 ps
OR-U8344: 1346.99296 ps
OR-U8345: 1323.51749 ps
OR-U8346: 801.67741 ps
OR-U8347: 796.88988 ps
NAND-U8348: 356.78966 ps
NOR-U8349: 362.82225 ps
OR-U8350: 901.08557 ps
AND-U8351: 901.08557 ps
OR-U8352: 1159.92279 ps
OR-U8353: 1149.48247 ps
OR-U8354: 1138.59638 ps
OR-U8355: 989.94203 ps
NOR-U8356: 787.60399 ps
OR-U8357: 1335.55071 ps
NOR-U8358: 895.42447 ps
NOT-U8359: 900.54676 ps
AND-U8360: 916.34264 ps
OR-U8361: 1315.12356 ps
NAND-U8362: 492.17230 ps
OR-U8363: 1121.32686 ps
OR-U8364: 325.66487 ps
NAND-U8365: 325.66487 ps
OR-U8366: 1153.61243 ps
OR-U8367: 1091.81867 ps
OR-U8368: 1116.15935 ps
NOR-U8369: 1240.59988 ps
OR-U8370: 770.56193 ps
OR-U8371: 717.69776 ps
NOR-U8372: 1353.77254 ps
OR-U8373: 2127.82982 ps
OR-U8374: 2127.82982 ps
OR-U8375: 2127.82982 ps
OR-U8376: 933.31454 ps
AND-U8377: 1013.71022 ps
OR-U8378: 1344.98183 ps
OR-U8379: 1355.95644 ps
OR-U8380: 1402.88053 ps
OR-U8381: 2230.79882 ps
OR-U8382: 1088.99079 ps
AND-U8383: 351.75269 ps
OR-U8384: 428.83407 ps
OR-U8385: 1320.43237 ps
OR-U8386: 1276.92769 ps
OR-U8387: 1341.53118 ps
OR-U8388: 1392.96575 ps
OR-U8389: 314.92285 ps
OR-U8390: 1425.22546 ps
NOR-U8391: 1088.99079 ps
NOT-U8392: 1088.99079 ps
OR-U8393: 568.67403 ps
NOR-U8394: 1088.99079 ps
NOT-U8395: 1618.04166 ps
AND-U8396: 1088.99079 ps
OR-U8397: 899.59520 ps
AND-U8398: 227.98447 ps
OR-U8399: 794.88709 ps
NAND-U8400: 830.75198 ps
OR-U8401: 623.38748 ps
OR-U8402: 831.74802 ps
AND-U8403: 831.74802 ps
AND-U8404: 954.13272 ps
OR-U8405: 927.73725 ps
OR-U8406: 849.13739 ps
OR-U8407: 831.74802 ps
AND-U8408: 831.74802 ps
AND-U8409: 954.13272 ps
NOR-U8410: 849.13739 ps
NOT-U8411: 858.34206 ps
OR-U8412: 752.60221 ps
OR-U8413: 794.88709 ps
NAND-U8414: 830.75198 ps
AND-U8415: 602.31267 ps
OR-U8416: 955.95849 ps
OR-U8417: 831.74802 ps
AND-U8418: 954.13272 ps
AND-U8419: 831.74802 ps
OR-U8420: 928.29357 ps
AND-U8421: 606.10542 ps
AND-U8422: 615.60345 ps
OR-U8423: 794.88709 ps
NAND-U8424: 830.75198 ps
AND-U8425: 544.92335 ps
OR-U8426: 728.64823 ps
OR-U8427: 728.64823 ps
AND-U8428: 386.89582 ps
OR-U8429: 794.88709 ps
NAND-U8430: 830.75198 ps
OR-U8431: 728.64823 ps
OR-U8432: 728.64823 ps
OR-U8433: 728.64823 ps
OR-U8434: 728.64823 ps
AND-U8435: 550.17957 ps
OR-U8436: 831.74802 ps
AND-U8437: 954.13272 ps
AND-U8438: 831.74802 ps
OR-U8439: 282.76917 ps
OR-U8440: 674.01137 ps
OR-U8441: 716.22000 ps
NOR-U8442: 754.61895 ps
OR-U8443: 1245.12465 ps
OR-U8444: 698.51404 ps
OR-U8445: 426.52019 ps
OR-U8446: 420.46399 ps
OR-U8447: 452.89967 ps
OR-U8448: 458.94147 ps
OR-U8449: 452.89967 ps
OR-U8450: 458.94147 ps
OR-U8451: 452.89967 ps
OR-U8452: 458.94147 ps
OR-U8453: 452.89967 ps
NOR-U8454: 2050.59754 ps
NOT-U8455: 2050.59754 ps
OR-U8456: 692.65465 ps
NOR-U8457: 2127.82982 ps
NOR-U8458: 2127.82982 ps
NOR-U8459: 2127.82982 ps
OR-U8460: 2250.79924 ps
OR-U8461: 1203.00528 ps
NOT-U8462: 838.12794 ps
OR-U8463: 277.65015 ps
OR-U8464: 245.16023 ps
OR-U8465: 312.21880 ps
OR-U8466: 392.09876 ps
OR-U8467: 357.78378 ps
NOR-U8468: 357.78378 ps
NOR-U8469: 1088.99079 ps
NOT-U8470: 1588.59434 ps
OR-U8471: 577.09910 ps
OR-U8472: 1676.35218 ps
OR-U8473: 618.37114 ps
NOR-U8474: 1088.99079 ps
OR-U8475: 1652.53125 ps
OR-U8476: 728.72964 ps
OR-U8477: 1635.78296 ps
OR-U8478: 317.51862 ps
OR-U8479: 772.50603 ps
OR-U8480: 797.78328 ps
OR-U8481: 282.05593 ps
OR-U8482: 304.69442 ps
OR-U8483: 270.80392 ps
OR-U8484: 317.01184 ps
OR-U8485: 355.56760 ps
OR-U8486: 362.77276 ps
OR-U8487: 386.89582 ps
OR-U8488: 862.24498 ps
AND-U8489: 984.62968 ps
AND-U8490: 862.24498 ps
OR-U8491: 523.38458 ps
OR-U8492: 862.24498 ps
AND-U8493: 984.62968 ps
AND-U8494: 862.24498 ps
OR-U8495: 698.51404 ps
OR-U8496: 760.00890 ps
OR-U8497: 1312.95792 ps
OR-U8498: 968.02576 ps
OR-U8499: 2286.75259 ps
OR-U8500: 2213.57413 ps
OR-U8501: 2127.82982 ps
OR-U8502: 2284.07347 ps
AND-U8503: 939.35318 ps
AND-U8504: 844.58748 ps
AND-U8505: 870.87501 ps
AND-U8506: 1347.44210 ps
AND-U8507: 1385.06293 ps
AND-U8508: 1385.06293 ps
AND-U8509: 1402.06671 ps
AND-U8510: 1419.03459 ps
AND-U8511: 1380.17060 ps
AND-U8512: 1380.17060 ps
AND-U8513: 1380.17060 ps
AND-U8514: 1380.17060 ps
AND-U8515: 1380.17060 ps
AND-U8516: 1380.17060 ps
AND-U8517: 1380.17060 ps
AND-U8518: 1380.17060 ps
AND-U8519: 1196.63283 ps
AND-U8520: 1169.77461 ps
AND-U8521: 2066.32667 ps
AND-U8522: 734.24691 ps
NAND-U8523: 891.34875 ps
AND-U8524: 1366.35065 ps
AND-U8525: 1366.35065 ps
AND-U8526: 1366.35065 ps
AND-U8527: 1366.35065 ps
AND-U8528: 1366.35065 ps
AND-U8529: 1366.35065 ps
AND-U8530: 1366.35065 ps
AND-U8531: 1366.35065 ps
AND-U8532: 679.21794 ps
AND-U8533: 728.72964 ps
AND-U8534: 1018.02263 ps
AND-U8535: 1492.67885 ps
AND-U8536: 1478.90343 ps
AND-U8537: 872.91644 ps
AND-U8538: 1380.17060 ps
AND-U8539: 1380.17060 ps
AND-U8540: 1366.35065 ps
AND-U8541: 1366.35065 ps
AND-U8542: 912.13162 ps
AND-U8543: 764.84839 ps
AND-U8544: 869.32012 ps
AND-U8545: 1094.03821 ps
AND-U8546: 1186.32952 ps
AND-U8547: 577.09910 ps
AND-U8548: 618.37114 ps
AND-U8549: 1235.74970 ps
AND-U8550: 755.50069 ps
AND-U8551: 1403.89318 ps
AND-U8552: 698.51404 ps
AND-U8553: 760.00890 ps
AND-U8554: 2053.47644 ps
AND-U8555: 2089.52381 ps
AND-U8556: 2053.47644 ps
AND-U8557: 740.23891 ps
AND-U8558: 2089.52466 ps
AND-U8559: 1387.04348 ps
AND-U8560: 1487.62933 ps
AND-U8561: 734.24691 ps
AND-U8562: 1018.02264 ps
AND-U8563: 1018.02263 ps
AND-U8564: 1018.02263 ps
AND-U8565: 1018.02264 ps
AND-U8566: 1018.02264 ps
AND-U8567: 1018.02263 ps
AND-U8568: 1018.02264 ps
AND-U8569: 1018.02263 ps
AND-U8570: 1018.02264 ps
AND-U8571: 1018.02263 ps
AND-U8572: 1018.02263 ps
AND-U8573: 1018.02264 ps
AND-U8574: 1018.02263 ps
AND-U8575: 1018.02264 ps
AND-U8576: 1018.02264 ps
AND-U8577: 1018.02263 ps
AND-U8578: 592.11565 ps
AND-U8579: 1047.17423 ps
AND-U8580: 676.70659 ps
AND-U8581: 787.84463 ps
AND-U8582: 933.33008 ps
AND-U8583: 1084.45800 ps
AND-U8584: 405.55703 ps
AND-U8585: 903.87402 ps
AND-U8586: 889.34887 ps
AND-U8587: 858.18313 ps
AND-U8588: 889.34780 ps
AND-U8589: 1205.40496 ps
AND-U8590: 593.55637 ps
AND-U8591: 719.39584 ps
AND-U8592: 630.40437 ps
AND-U8593: 630.40437 ps
AND-U8594: 449.68794 ps
AND-U8595: 647.36575 ps
AND-U8596: 927.42687 ps
AND-U8597: 420.46399 ps
AND-U8598: 545.88040 ps
AND-U8599: 554.60123 ps
AND-U8600: 545.88040 ps
AND-U8601: 1180.09042 ps
AND-U8602: 1150.09360 ps
AND-U8603: 1588.59434 ps
AND-U8604: 1639.78037 ps
AND-U8605: 751.39197 ps
AND-U8606: 947.39929 ps
AND-U8607: 933.17757 ps
AND-U8608: 1442.79438 ps
AND-U8609: 1545.44771 ps
AND-U8610: 1435.14777 ps
AND-U8611: 764.84839 ps
AND-U8612: 1200.35662 ps
AND-U8613: 449.68794 ps
AND-U8614: 357.69114 ps
AND-U8615: 1284.27062 ps
AND-U8616: 243.05757 ps
AND-U8617: 1275.96647 ps
AND-U8618: 453.22665 ps
AND-U8619: 285.30661 ps
AND-U8620: 849.47704 ps
AND-U8621: 868.54325 ps
AND-U8622: 899.53139 ps
AND-U8623: 884.59510 ps
AND-U8624: 924.22579 ps
AND-U8625: 927.73725 ps
AND-U8626: 317.86015 ps
AND-U8627: 887.33635 ps
AND-U8628: 359.28054 ps
AND-U8629: 980.67497 ps
AND-U8630: 981.28342 ps
AND-U8631: 1036.74382 ps
AND-U8632: 1043.68484 ps
AND-U8633: 1079.41481 ps
AND-U8634: 452.41249 ps
AND-U8635: 1135.47011 ps
AND-U8636: 728.64823 ps
AND-U8637: 975.13520 ps
AND-U8638: 973.52470 ps
AND-U8639: 403.09517 ps
AND-U8640: 860.64312 ps
AND-U8641: 1088.37463 ps
AND-U8642: 590.93693 ps
AND-U8643: 686.96810 ps
AND-U8644: 420.46399 ps
AND-U8645: 562.21227 ps
AND-U8646: 1047.17423 ps
AND-U8647: 1088.37463 ps
AND-U8648: 1047.17423 ps
AND-U8649: 1088.37463 ps
AND-U8650: 1047.17423 ps
AND-U8651: 1088.37463 ps
AND-U8652: 1047.17423 ps
AND-U8653: 1088.37463 ps
AND-U8654: 1047.17423 ps
AND-U8655: 1088.37463 ps
AND-U8656: 1047.17423 ps
AND-U8657: 1088.37463 ps
AND-U8658: 1047.17423 ps
AND-U8659: 1088.37463 ps
AND-U8660: 1047.17423 ps
AND-U8661: 426.52019 ps
AND-U8662: 2022.29255 ps
AND-U8663: 903.86005 ps
AND-U8664: 858.17678 ps
AND-U8665: 2102.63526 ps
AND-U8666: 452.89967 ps
AND-U8667: 878.69805 ps
AND-U8668: 2014.21587 ps
AND-U8669: 458.94147 ps
AND-U8670: 2014.21587 ps
AND-U8671: 592.67047 ps
AND-U8672: 872.66201 ps
AND-U8673: 648.44329 ps
AND-U8674: 639.02283 ps
AND-U8675: 746.71248 ps
AND-U8676: 379.10119 ps
AND-U8677: 756.23464 ps
AND-U8678: 1069.51940 ps
AND-U8679: 436.96565 ps
AND-U8680: 1652.53125 ps
AND-U8681: 1676.35218 ps
AND-U8682: 1618.04166 ps
AND-U8683: 1589.63221 ps
AND-U8684: 1437.62307 ps
AND-U8685: 1344.98183 ps
AND-U8686: 1320.43237 ps
AND-U8687: 1392.96575 ps
AND-U8688: 1425.22546 ps
AND-U8689: 1511.01488 ps
AND-U8690: 768.03939 ps
AND-U8691: 849.13739 ps
AND-U8692: 858.34206 ps
AND-U8693: 899.81639 ps
AND-U8694: 955.95849 ps
AND-U8695: 928.29357 ps
AND-U8696: 357.78378 ps
AND-U8697: 568.67403 ps
AND-U8698: 578.35324 ps
AND-U8699: 304.69442 ps
AND-U8700: 317.01184 ps
AND-U8701: 355.56760 ps
AND-U8702: 362.77276 ps
AND-U8703: 386.89582 ps
AND-U8704: 437.89673 ps
AND-U8705: 523.38458 ps
NAND-U8706: 1269.36136 ps
NAND-U8707: 1683.78505 ps
NAND-U8708: 1317.71190 ps
NAND-U8709: 935.79682 ps
NAND-U8710: 640.10533 ps
AND-U8711: 226.01305 ps
NOT-U8712: 382.32171 ps
OR-U8713: 1424.61859 ps
NAND-U8714: 290.40180 ps
NOR-U8715: 1004.56928 ps
AND-U8716: 317.04208 ps
NAND-U8717: 315.08525 ps
AND-U8718: 226.01305 ps
NAND-U8719: 329.31645 ps
NAND-U8720: 415.80098 ps
NAND-U8721: 403.54699 ps
OR-U8722: 527.55075 ps
NAND-U8723: 308.34133 ps
NAND-U8724: 310.73155 ps
OR-U8725: 310.73155 ps
